ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,Crédito_1,Crédito_2,Crédito_3,Crédito_4,Monto solicitado,Días de Mora,Monto Deuda Promedio,Número de meses inactivo,numero de cuotas,Aval,PAGA
2382,M       ,460000,46,UNV     ,SOL     ,31,119,SANTIAGO        ,283327,0,0,0,319,0,0,1,16,NO,
2383,F       ,510000,29,TEC     ,SOL     ,23,164,CURICO          ,0,900000,0,0,0,0,0,0,12,NO,
2384,M       ,640000,35,UNV     ,SOL     ,90,67,VINA DEL MAR    ,0,1171215,0,0,517,0,40,1,14,NO,
2385,M       ,500000,36,UNV     ,CAS     ,108,90,SANTIAGO        ,0,600000,0,400000,0,0,408,0,14,SI,
2386,F       ,1140000,40,UNV     ,SEP     ,102,90,SANTIAGO        ,0,1266636,0,380376,2357,0,311,2,34,NO,
2387,F       ,448000,38,UNV     ,CAS     ,66,253,TEMUCO          ,0,0,0,0,187,0,0,1,17,NO,
2388,M       ,1241000,47,MED     ,CAS     ,17,90,SANTIAGO        ,0,36104,0,500000,1185,0,509,3,51,SI,
2389,M       ,4700000,44,UNV     ,CAS     ,31,119,SANTIAGO        ,0,87532,0,0,265,0,0,2,17,NO,
2390,F       ,8280000,27,TEC     ,VIU     ,10,5,IQUIQUE         ,0,1254332,0,0,0,0,0,0,15,NO,
2391,M       ,7000000,44,MED     ,CAS     ,55,90,SANTIAGO        ,1918631,1997770,0,0,9565,0,69197,3,46,SI,
2392,F       ,73000,49,TEC     ,SEP     ,37,93,SANTIAGO        ,0,-8296,0,0,1775,0,0,1,7,SI,
2393,F       ,52300,39,TEC     ,SOL     ,13,16,ANTOFAGASTA     ,0,1133940,0,0,2,0,0,1,53,SI,
2394,M       ,823000,55,UNV     ,CAS     ,27,226,CONCEPCION      ,0,800000,0,122244,0,0,223,1,34,SI,
2395,F       ,550000,55,MED     ,CAS     ,57,112,SANTIAGO        ,0,300000,0,286260,0,0,291,0,19,NO,
2396,M       ,80700,49,MED     ,CAS     ,55,90,SANTIAGO        ,1467021,1513114,0,0,1842,2,4095,1,23,NO,
2397,M       ,1562000,60,UNV     ,CAS     ,105,59,QUILLOTA        ,0,800000,0,40751,1209,0,41,1,80,NO,
2398,M       ,761000,45,UNV     ,SOL     ,31,119,SANTIAGO        ,0,8274,0,364636,422,0,303,2,34,NO,
2399,M       ,1500000,53,TEC     ,CAS     ,90,89,SANTIAGO        ,4009010,675151,0,2150975,4579,22,3395,2,29,SI,
2400,M       ,1045000,34,UNV     ,CAS     ,59,88,SANTIAGO        ,0,388236,0,61927,2145,0,92,3,31,NO,
2401,F       ,75000,43,TEC     ,SOL     ,51,91,SANTIAGO        ,0,600000,0,16175,0,0,16,0,24,SI,
2402,M       ,1200000,59,TEC     ,CAS     ,121,226,CONCEPCION      ,0,0,27797549,0,16,0,34519,1,60,NO,
2403,M       ,1500000,50,UNV     ,CAS     ,85,88,SANTIAGO        ,0,59157,0,367147,388,0,0,1,72,NO,
2404,F       ,1176000,52,UNV     ,CAS     ,90,80,SANTIAGO        ,0,1300000,0,2133472,1306,0,2280,1,46,NO,
2405,M       ,1700000,40,UNV     ,SOL     ,27,226,CONCEPCION      ,0,900000,0,2767104,0,25,2143,1,80,NO,
2406,F       ,5400000,29,TEC     ,SOL     ,90,90,SANTIAGO        ,1680122,0,0,0,4360,0,621,3,7,NO,
2407,M       ,800000,28,TEC     ,CAS     ,27,226,CONCEPCION      ,570630,450000,0,0,615,0,25457,1,30,SI,
2408,F       ,982000,41,UNV     ,SOL     ,138,1,ARICA           ,0,399947,0,407773,243,0,19968,2,46,SI,
2409,F       ,450000,62,TEC     ,SOL     ,34,29,LA SERENA       ,0,327948,0,28094,0,3,0,0,15,NO,
2410,M       ,883000,45,MED     ,CAS     ,122,80,SANTIAGO        ,0,783873,0,0,1469,25,6,1,30,NO,
2411,M       ,2986000,47,UNV     ,CAS     ,138,1,ARICA           ,0,2959991,0,0,10,30,129,1,80,NO,
2412,F       ,7000000,34,TEC     ,SEP     ,88,67,VINA DEL MAR    ,0,500000,0,0,1343,0,0,3,10,NO,
2413,F       ,68000,60,TEC     ,SOL     ,48,89,SANTIAGO        ,0,629752,0,0,708,0,2063,1,80,SI,
2414,F       ,540000,43,TEC     ,CAS     ,23,164,CURICO          ,0,0,0,0,0,0,0,0,22,NO,
2415,F       ,600000,36,TEC     ,SOL     ,75,79,STO DOMINGO     ,0,0,0,250000,0,0,237,0,24,NO,
2416,F       ,800000,57,TEC     ,CAS     ,90,89,SANTIAGO        ,0,800000,0,0,484,0,1,1,32,NO,
2417,M       ,7000000,41,MED     ,CAS     ,25,93,SANTIAGO        ,602620,53251,0,1200000,1361,0,1515,1,47,NO,
2418,M       ,1700000,42,MED     ,SEP     ,31,119,SANTIAGO        ,0,2332736,0,446687,6587,3,10805,2,37,NO,
2419,M       ,1276000,44,MED     ,CAS     ,141,31,COQUIMBO        ,0,1084581,0,301830,3290,0,519,1,31,NO,
2420,F       ,679000,29,TEC     ,CAS     ,54,92,SANTIAGO        ,0,29128,0,500000,2045,0,509,1,7,NO,
2421,F       ,5590000,34,TEC     ,VIU     ,43,70,QUILPUE         ,0,204911,0,0,6,0,165,1,26,NO,
2422,M       ,55800,44,UNV     ,CAS     ,54,88,SANTIAGO        ,0,0,0,2651422,0,0,2513,1,80,NO,
2423,M       ,1230000,34,MED     ,SOL     ,85,67,VINA DEL MAR    ,0,1282357,0,0,37,45,0,1,49,NO,
2424,F       ,1562000,60,TEC     ,VIU     ,105,59,QUILLOTA        ,0,800000,0,40751,1209,0,41,1,80,NO,
2425,M       ,500000,48,MED     ,CAS     ,138,1,ARICA           ,806495,388749,0,0,845,0,9309,1,9,NO,
2426,M       ,8280000,44,UNV     ,CAS     ,55,90,SANTIAGO        ,457313,0,0,0,587,3,0,1,15,NO,
2427,M       ,1000000,33,UNV     ,CAS     ,21,502,CHUQUICAMATA    ,2087283,250000,0,633472,2313,0,816,1,27,NO,
2428,M       ,1000000,27,TEC     ,SOL     ,13,16,ANTOFAGASTA     ,0,2300000,0,0,81,0,0,1,27,NO,
2429,F       ,1000000,31,UNV     ,SOL     ,44,173,TALCA           ,0,671558,0,116052,370,0,468,1,44,NO,
2430,M       ,7830000,42,UNV     ,CAS     ,55,90,SANTIAGO        ,1534642,211857,0,0,2585,1,0,2,35,NO,
2431,M       ,6230000,41,UNV     ,CAS     ,55,90,SANTIAGO        ,1846657,84398,0,1000000,5182,22,0,3,19,NO,
2432,F       ,43800,36,MED     ,SOL     ,107,87,SANTIAGO        ,0,3088840,0,0,0,0,8032,0,77,SI,
2433,M       ,8000000,42,MED     ,CAS     ,31,120,SANTIAGO        ,0,600000,0,0,196,0,90,1,44,NO,
2434,M       ,599000,43,MED     ,CAS     ,138,1,ARICA           ,0,244595,0,250000,313,0,1125,1,21,SI,
2435,F       ,94600,41,TEC     ,SOL     ,30,91,SANTIAGO        ,0,515925,0,0,145,0,470,1,18,SI,
2436,F       ,652000,30,UNV     ,CAS     ,74,91,SANTIAGO        ,0,63522,0,0,185,0,0,1,25,NO,
2437,M       ,2067000,38,MED     ,SOL     ,59,91,SANTIAGO        ,0,1174851,0,0,78,0,36,1,80,NO,
2438,M       ,1240000,53,TEC     ,CAS     ,21,103,SANTIAGO        ,697406,542864,0,500000,4975,0,510,3,13,SI,
2439,F       ,819000,45,UNV     ,CAS     ,16,89,SANTIAGO        ,0,650000,0,0,0,0,239,1,35,SI,
2440,M       ,782000,53,UNV     ,SOL     ,27,226,CONCEPCION      ,0,0,0,0,3125,1,16,3,8,NO,
2441,F       ,50000,38,TEC     ,SOL     ,122,90,SANTIAGO        ,0,0,0,0,0,0,13,0,38,SI,
2442,F       ,800000,41,TEC     ,CAS     ,27,226,CONCEPCION      ,0,31933,0,1000000,865,0,1018,2,32,NO,
2443,M       ,1200000,49,UNV     ,CAS     ,16,90,SANTIAGO        ,0,0,0,1527726,385,0,1724,1,57,NO,
2444,F       ,76100,44,MED     ,SOL     ,81,59,QUILLOTA        ,0,600000,0,0,0,2,464,0,15,SI,
2445,F       ,650000,39,TEC     ,CAS     ,16,89,SANTIAGO        ,0,250000,0,0,0,21,0,0,24,NO,
2446,M       ,73000,40,MED     ,CAS     ,55,90,SANTIAGO        ,407335,4903,0,300000,2115,0,924,2,5,NO,
2447,M       ,700000,54,TEC     ,CAS     ,27,226,CONCEPCION      ,0,252382,0,153337,238,0,0,1,26,NO,
2448,F       ,946000,47,UNV     ,SOL     ,138,1,ARICA           ,1012868,880,0,401861,870,0,463,3,38,NO,
2449,M       ,500000,30,UNV     ,CAS     ,27,226,CONCEPCION      ,579956,4629,0,300000,946,0,1424,1,11,NO,
2450,M       ,890000,50,UNV     ,VIU     ,108,118,SANTIAGO        ,0,800000,0,0,756,3,0,1,37,NO,
2451,M       ,4200000,49,MED     ,VIU     ,90,88,SANTIAGO        ,0,0,7302805,0,12490,0,118186,1,80,NO,
2452,M       ,7300000,41,UNV     ,CAS     ,32,97,SANTIAGO        ,544758,300000,0,0,796,0,78,3,14,NO,
2453,F       ,61000,41,TEC     ,SEP     ,10,5,IQUIQUE         ,0,800000,0,0,0,27,0,0,80,NO,
2454,M       ,650000,40,UNV     ,CAS     ,151,226,CONCEPCION      ,0,588076,0,0,2,6,0,1,21,NO,
2455,F       ,1197000,45,UNV     ,CAS     ,54,89,SANTIAGO        ,0,657571,0,0,1212,19,0,2,48,NO,
2456,M       ,3223000,47,TEC     ,SOL     ,138,1,ARICA           ,0,1100000,0,2969577,5135,33,23823,3,80,NO,
2457,M       ,500000,43,TEC     ,CAS     ,138,1,ARICA           ,450336,83218,0,498493,845,0,1555,2,12,NO,
2458,M       ,1030000,43,UNV     ,CAS     ,31,119,SANTIAGO        ,0,600000,0,0,2275,0,2,1,29,NO,
2459,F       ,524000,30,TEC     ,SOL     ,127,115,SANTIAGO        ,0,1064270,0,190435,6,23,696,1,11,NO,
2460,M       ,500000,37,UNV     ,CAS     ,90,84,SANTIAGO        ,0,450000,0,0,41,0,0,1,16,NO,
2461,F       ,,44,MED     ,CAS     ,36,67,VINA DEL MAR    ,0,938949,0,0,103,0,0,1,11,NO,
2462,M       ,1100000,52,MED     ,CAS     ,27,226,CONCEPCION      ,0,1099564,0,0,16,1,0,1,45,NO,
2463,M       ,501000,40,TEC     ,CAS     ,46,29,LA SERENA       ,0,381240,0,0,86,0,0,2,17,NO,
2464,F       ,80000,49,MED     ,VIU     ,13,29,LA SERENA       ,816736,0,0,0,2016,10,0,1,28,SI,
2465,M       ,61700,52,MED     ,CAS     ,31,119,SANTIAGO        ,0,843757,0,17233446,6406,0,50224,3,38,NO,
2466,M       ,960000,52,TEC     ,CAS     ,23,90,SANTIAGO        ,0,500000,0,1242374,2383,0,1488,2,25,NO,
2467,M       ,701000,35,TEC     ,CAS     ,54,80,SANTIAGO        ,0,750000,0,0,0,26,0,0,21,NO,
2468,F       ,1197000,45,MED     ,SOL     ,54,89,SANTIAGO        ,0,657571,0,0,1212,19,0,2,48,NO,
2469,F       ,7000000,30,TEC     ,CAS     ,46,35,OVALLE          ,1297563,405076,0,0,1611,0,0,1,5,SI,
2470,M       ,1400000,53,UNV     ,SOL     ,27,226,CONCEPCION      ,0,800000,0,880556,0,15,520,1,62,NO,
2471,F       ,740000,30,TEC     ,CAS     ,84,80,SANTIAGO        ,0,-490,0,0,139,0,0,1,29,SI,
2472,F       ,6140000,33,TEC     ,SOL     ,71,326,PUNTA ARENAS    ,0,1557754,0,0,540,0,0,1,24,NO,
2473,M       ,2155000,47,UNV     ,CAS     ,66,242,ANGOL           ,0,-2266,0,2500000,9562,16,23389,1,34,NO,
2474,M       ,49400,40,UNV     ,CAS     ,41,89,SANTIAGO        ,0,40525,0,104303,797,0,0,2,19,SI,
2475,M       ,5000000,42,UNV     ,CAS     ,86,86,SANTIAGO        ,0,1528969,0,0,60,16,0,1,80,NO,
2476,F       ,1000000,44,MED     ,CAS     ,90,118,SANTIAGO        ,0,0,0,0,385,0,14391,2,47,NO,
2477,F       ,8000000,44,UNV     ,CAS     ,55,90,SANTIAGO        ,0,559926,0,0,220,0,0,1,23,NO,
2478,F       ,1000000,48,MED     ,CAS     ,60,291,PUERTO MONTT    ,0,650000,0,0,10,32,28683,1,44,NO,
2479,M       ,530000,54,UNV     ,CAS     ,28,89,SANTIAGO        ,0,800000,0,0,64,0,310,1,14,NO,
2480,F       ,483000,25,TEC     ,CAS     ,28,89,SANTIAGO        ,0,5106,0,188821,546,0,261,2,14,NO,
2481,M       ,814000,45,MED     ,CAS     ,68,213,LOS ANGELES     ,0,0,0,1500000,0,0,1531,0,41,NO,
2482,M       ,900000,38,UNV     ,CAS     ,29,92,SANTIAGO        ,0,250000,7110274,200000,184,0,7829,1,43,NO,
2483,F       ,600000,36,UNV     ,CAS     ,75,79,STO DOMINGO     ,0,0,0,250000,0,0,237,0,24,NO,
2484,M       ,88000,45,UNV     ,CAS     ,54,80,SANTIAGO        ,0,863737,0,1421340,35,33,0,1,45,NO,
2485,M       ,867000,33,TEC     ,CAS     ,138,89,SANTIAGO        ,0,1050000,0,0,0,20,9779,0,33,SI,
2486,F       ,618000,45,TEC     ,CAS     ,108,100,SANTIAGO        ,1527219,161055,0,0,1798,0,0,1,7,NO,
2487,M       ,8370000,42,MED     ,CAS     ,19,80,SANTIAGO        ,0,0,0,239103,0,0,255,1,20,NO,
2488,F       ,1141000,52,MED     ,VIU     ,24,88,SANTIAGO        ,0,4366829,1499997,0,79,0,3928,1,14,NO,
2489,F       ,66400,59,TEC     ,SOL     ,71,326,PUNTA ARENAS    ,0,3000000,0,0,609,0,0,1,80,SI,
2490,F       ,7670000,35,TEC     ,SEP     ,72,504,EL SALVADOR     ,1110309,1500000,0,0,0,0,0,0,49,NO,
2491,M       ,445000,32,MED     ,CAS     ,27,226,CONCEPCION      ,0,448848,0,19910,316,0,6,3,14,NO,
2492,F       ,639000,25,MED     ,CAS     ,64,314,COYHAIQUE       ,0,250000,0,87534,142,0,1,1,24,NO,
2493,M       ,863000,50,TEC     ,SOL     ,138,1,ARICA           ,0,103130,0,436405,1134,0,4760,3,32,NO,
2494,F       ,500000,45,MED     ,CAS     ,138,1,ARICA           ,0,600000,0,0,7,0,747,2,14,NO,
2495,M       ,63000,55,UNV     ,CAS     ,55,90,SANTIAGO        ,0,1597000,0,15073,239,0,71,1,5,NO,
2496,M       ,750000,53,TEC     ,CAS     ,27,226,CONCEPCION      ,0,156284,0,0,304,0,0,1,35,SI,
2497,M       ,700000,37,MED     ,CAS     ,56,148,SAN FERNANDO    ,0,436583,0,0,332,0,0,2,24,NO,
2498,M       ,2500000,28,MED     ,CAS     ,90,85,SANTIAGO        ,0,446744,0,0,773,47,0,2,80,NO,
2499,M       ,1100000,40,TEC     ,CAS     ,31,119,SANTIAGO        ,1503159,23674,0,2500000,1937,0,2552,1,36,SI,
2500,M       ,3490000,41,MED     ,CAS     ,138,1,ARICA           ,0,647378,11006786,1458733,2416,33,9430,2,80,NO,
2501,M       ,750000,49,UNV     ,SOL     ,30,91,SANTIAGO        ,771414,267978,0,247587,1455,24,308,1,23,NO,
2502,M       ,4430000,36,UNV     ,CAS     ,55,90,SANTIAGO        ,175399,913136,0,173686,354,0,148,1,13,NO,
2503,M       ,500000,49,UNV     ,CAS     ,28,118,SANTIAGO        ,0,479508,0,12036,421,0,0,1,16,SI,
2504,M       ,952000,33,MED     ,CAS     ,52,80,SANTIAGO        ,645932,19751,0,0,1905,20,407,2,29,SI,
2505,M       ,7500000,40,UNV     ,CAS     ,66,85,SANTIAGO        ,0,57896,0,897121,2955,0,41170,2,34,NO,
2506,F       ,3300000,56,MED     ,CAS     ,13,16,ANTOFAGASTA     ,4543958,1126051,0,2999998,9319,91,42455,1,80,NO,
2507,M       ,79800,43,MED     ,CAS     ,90,108,SANTIAGO        ,0,590520,0,201952,1039,0,303,3,18,NO,
2508,F       ,65000,55,TEC     ,VIU     ,153,298,LLANQUIHUE      ,0,381909,0,0,257,0,16476,1,36,SI,
2509,M       ,1655000,46,TEC     ,VIU     ,55,108,SANTIAGO        ,0,650000,0,301031,0,0,277,0,80,NO,
2510,M       ,500000,47,UNV     ,SOL     ,138,1,ARICA           ,0,2190,0,388543,236,0,2018,1,18,NO,
2511,M       ,571000,45,MED     ,CAS     ,82,80,SANTIAGO        ,0,87203,0,0,494,11,0,2,18,NO,
2512,M       ,589000,45,UNV     ,CAS     ,31,119,SANTIAGO        ,0,572014,0,0,734,0,0,1,17,NO,
2513,F       ,515000,41,MED     ,CAS     ,51,88,SANTIAGO        ,0,0,0,0,0,0,15,0,21,NO,
